eventTime,eventSource,eventName,awsRegion,sourceIPAddress,userAgent,errorCode,errorMessage,userIdentity.type,userIdentity.userName,userIdentity.arn,userIdentity.principalId,userIdentity.accountId,userIdentity.accessKeyId,requestParameters.userName,requestParameters.region,responseElements.status
2025-01-26T21:59:00Z,s3.amazonaws.com,CreateBucket,eu-west-1,148.110.108.145,aws-sdk-java/1.12,,,IAMUser,Diya,arn:aws:iam::123456789012:user/Diya,AIDA82646,123456789012,AKIA86081,Diya,eu-west-1,Success
2025-01-28T02:23:00Z,ec2.amazonaws.com,ListBuckets,ap-south-1,130.255.122.14,aws-sdk-go/1.44,,,IAMUser,Diya,arn:aws:iam::123456789012:user/Diya,AIDA86043,123456789012,AKIA68699,Diya,ap-south-1,Success
2025-01-29T20:51:00Z,ec2.amazonaws.com,CreateBucket,ap-south-1,153.137.164.147,aws-cli/2.15.0 Python/3.11,,,IAMUser,Diya,arn:aws:iam::123456789012:user/Diya,AIDA48394,123456789012,AKIA93721,Diya,ap-south-1,Success
2025-01-18T07:37:00Z,ec2.amazonaws.com,UpdateTrail,ap-southeast-1,63.37.239.13,aws-sdk-go/1.44,,,IAMUser,Kavya,arn:aws:iam::123456789012:user/Kavya,AIDA60830,123456789012,AKIA52636,Kavya,ap-southeast-1,Success
2025-01-24T17:21:00Z,iam.amazonaws.com,CreateRole,eu-west-1,49.40.179.255,aws-sdk-go/1.44,,,IAMUser,Kavya,arn:aws:iam::123456789012:user/Kavya,AIDA24628,123456789012,AKIA11207,Kavya,eu-west-1,Success
2025-01-05T00:25:00Z,iam.amazonaws.com,CreateAccessKey,us-east-1,240.129.100.156,aws-cli/2.15.0 Python/3.11,,,IAMUser,Sahana,arn:aws:iam::123456789012:user/Sahana,AIDA89396,123456789012,AKIA58509,Sahana,us-east-1,Success
2025-01-11T01:39:00Z,s3.amazonaws.com,ConsoleLogin,eu-west-1,248.172.10.200,aws-sdk-java/1.12,,,IAMUser,Ishita,arn:aws:iam::123456789012:user/Ishita,AIDA97329,123456789012,AKIA54786,Ishita,eu-west-1,Success
2025-01-03T07:45:00Z,s3.amazonaws.com,RunInstances,ap-south-1,114.219.5.217,Boto3/1.34,,,IAMUser,Ishaan,arn:aws:iam::123456789012:user/Ishaan,AIDA90636,123456789012,AKIA40162,Ishaan,ap-south-1,Success
2025-01-06T07:46:00Z,cloudtrail.amazonaws.com,DeleteTrail,us-east-1,204.157.187.198,aws-sdk-go/1.44,,,IAMUser,Tara,arn:aws:iam::123456789012:user/Tara,AIDA91681,123456789012,AKIA59219,Tara,us-east-1,Success
2025-01-25T05:21:00Z,iam.amazonaws.com,CreateRole,us-east-1,133.73.55.44,aws-cli/2.15.0 Python/3.11,,,IAMUser,Madhav,arn:aws:iam::123456789012:user/Madhav,AIDA75895,123456789012,AKIA95378,Madhav,us-east-1,Success
